sku;anio;semana;unidades_vendidas;importe_total_pyg
118345;2024;42;1;99636
118345;2025;1;1;99636
118345;2025;45;2;199272
118345;2025;46;1;99636
118345;2025;47;1;99636
118345;2025;49;1;99636
118345;2025;52;1;99636
118345;2026;12;1;99636
118345;2026;13;3;298909
118345;2026;14;1;99636
118345;2026;15;1;99636
118345;2026;17;2;199272
118346;2024;1;1;63709
118346;2024;14;1;79636
118346;2024;17;1;79636
118346;2024;22;1;79636
118346;2024;24;1;59727
118346;2024;26;1;79636
118346;2024;30;1;79636
118346;2024;32;1;79636
118346;2024;34;1;63709
118346;2024;40;1;79636
118346;2024;42;2;159272
118346;2024;48;1;79636
118346;2024;52;2;127418
118346;2025;1;1;79636
118346;2025;5;1;79636
118346;2025;12;1;79636
118346;2025;20;1;79636
118346;2025;42;1;79636
118346;2025;46;1;63709
118346;2025;48;1;79636
118346;2025;49;1;79636
118346;2025;50;2;127418
118346;2025;52;1;79636
118346;2026;1;1;79636
118346;2026;6;1;79636
118348;2025;37;1;99636
118348;2025;43;2;199272
118348;2025;46;1;79709
118582;2024;7;3;54545
118582;2024;12;1;18181
118582;2024;24;8;109090
118582;2024;46;18;327272
118582;2024;47;29;527272
118582;2024;48;19;343636
118582;2024;49;41;745454
118582;2024;50;46;645454
118582;2024;51;49;729090
118582;2024;52;24;349090
118582;2025;11;1;18181
118582;2025;12;41;745454
118582;2025;13;55;1000000
118582;2025;14;54;981818
118582;2025;15;167;3036363
118582;2025;16;71;1290909
118582;2025;49;48;872727
118582;2025;51;48;717272
118582;2025;52;26;472727
118582;2026;11;7;127272
118582;2026;12;31;545454
118582;2026;13;51;927272
118582;2026;14;71;1290909
118583;2024;2;3;163636
118583;2024;3;2;109090
118583;2024;4;1;54545
118583;2024;5;3;163636
118583;2024;6;2;109090
118583;2024;7;10;545454
118583;2024;9;2;109090
118583;2024;11;1;54545
118583;2024;12;5;272727
118583;2024;13;8;436363
118583;2024;14;10;387272
118583;2024;15;1;54545
118583;2024;16;7;381818
118583;2024;17;14;763636
118583;2024;18;2;109090
118583;2024;19;4;166363
118583;2024;20;10;534545
118583;2024;21;4;222727
118583;2024;23;5;295454
118583;2024;24;4;212727
118583;2024;25;4;236363
118583;2024;29;1;59090
118583;2024;30;11;649999
118583;2024;31;5;295454
118583;2024;32;1;59090
118583;2024;33;5;271818
118583;2024;34;2;106363
118583;2024;35;3;177272
118583;2024;37;4;224545
118583;2024;38;10;590909
118583;2024;39;1;59090
118583;2024;40;3;177272
118583;2024;41;8;472727
118583;2024;42;2;118181
118583;2024;43;2;118181
118583;2024;44;3;177272
118583;2024;45;7;413636
118583;2024;48;8;472727
118583;2024;49;3;177272
118583;2024;50;9;472727
118583;2024;51;14;741590
118583;2024;52;2;118181
118583;2025;1;5;384090
118583;2025;3;1;59090
118583;2025;4;3;177272
118583;2025;5;2;118181
118583;2025;6;1;59090
118583;2025;7;18;910000
118583;2025;8;3;177272
118583;2025;9;4;236363
118583;2025;10;5;295454
118583;2025;11;1;59090
118583;2025;12;3;177272
118583;2025;13;14;827272
118583;2025;14;3;177272
118583;2025;15;6;354545
118583;2025;16;15;886363
118583;2025;17;7;413636
118583;2025;18;9;531818
118583;2025;19;12;650000
118583;2025;20;11;649999
118583;2025;21;3;177272
118583;2025;22;6;354545
118583;2025;24;6;313181
118583;2025;25;1;59090
118583;2025;26;2;118181
118583;2025;27;3;213636
118583;2025;28;11;850000
118583;2025;29;1;77272
118583;2025;30;3;231818
118583;2025;31;19;1468181
118583;2025;32;7;540909
118583;2025;33;2;139090
118583;2025;34;4;309090
118583;2025;35;4;309090
118583;2025;36;3;231818
118583;2025;37;4;293636
118583;2025;38;2;154545
118583;2025;39;5;375545
118583;2025;40;2;154545
118583;2025;41;5;378636
118583;2025;42;4;309090
118583;2025;44;6;460909
118583;2025;45;8;537727
118583;2025;46;2;153636
118583;2025;47;10;768181
118583;2025;48;4;307272
118583;2025;49;4;307272
118583;2025;50;3;215090
118583;2025;51;23;1559408
118583;2025;52;18;1382727
118583;2026;1;4;307272
118583;2026;2;9;691363
118583;2026;3;1;76818
118583;2026;4;2;153636
118583;2026;5;2;153636
118583;2026;6;5;384090
118583;2026;7;8;599181
118583;2026;8;2;153636
118583;2026;9;1;76818
118583;2026;10;5;384090
118583;2026;11;5;385909
118583;2026;13;11;849999
118583;2026;14;9;695454
118583;2026;15;1;77272
118583;2026;16;4;293636
118583;2026;17;5;386363
118583;2026;18;2;154545
119052;2024;44;1;36363
119052;2024;45;1;36363
119052;2024;48;4;145454
119052;2024;50;2;65454
119053;2024;52;1;23272
119254;2024;45;1;2181
119254;2024;47;46;125454
119254;2024;48;40;109090
119254;2024;50;6;16363
119254;2024;51;12;25636
119254;2025;46;4;10909
119254;2025;47;4;10909
119254;2025;48;15;40909
119254;2025;51;4;9818
125128;2024;46;1;84090
125128;2024;47;6;504545
125128;2024;48;2;168181
125152;2024;41;2;26363
125152;2024;46;18;237272
125152;2024;47;23;303181
125152;2024;48;83;1094090
125152;2024;49;26;342727
125152;2024;50;94;1094750
125152;2024;51;76;812000
125152;2024;52;6;63272
125152;2025;1;1;13181
125152;2025;6;8;105454
125152;2025;7;35;391500
125152;2025;10;1;13181
125152;2025;24;12;158181
125152;2025;40;2;26363
125152;2025;41;6;79090
125152;2025;49;15;197727
125152;2025;50;52;685454
125152;2025;51;44;463340
125152;2025;52;38;500909
134100;2024;43;2;52727
134100;2024;44;6;158181
134100;2024;45;4;94909
134100;2024;46;1;26363
134100;2024;47;5;131818
134100;2024;48;11;290000
134100;2024;49;18;474545
134100;2024;50;1;26363
134100;2025;43;1;26363
134100;2025;44;12;316363
134100;2025;45;13;321636
134100;2025;46;40;980727
134100;2025;47;29;764545
134100;2025;50;1;26363
134101;2024;7;1;31818
134101;2024;12;2;63636
134101;2024;24;1;23863
134101;2024;25;5;159090
134101;2024;30;1;31818
134101;2024;38;1;31818
134101;2024;44;1;34545
134101;2024;45;4;117454
134101;2024;47;3;103636
134101;2024;48;6;207272
134101;2024;49;6;207272
134101;2024;50;11;354090
134101;2024;51;6;157181
134101;2024;52;2;55272
134101;2025;43;3;103636
134101;2025;44;5;172727
134101;2025;45;19;566545
134101;2025;46;20;621817
134101;2025;47;18;614909
134101;2025;48;4;138181
134101;2025;49;3;103636
134248;2024;51;2;19090
134265;2024;45;1;9454
134295;2024;44;4;236363
134295;2024;45;3;177272
134295;2024;46;2;118181
134295;2024;47;3;177272
134295;2024;48;6;354545
134295;2024;50;1;59090
134295;2025;45;1;59090
134301;2024;48;1;52727
134301;2024;49;2;105454
134301;2024;50;1;31636
134301;2024;51;1;52727
134301;2024;52;4;137090
134301;2025;46;2;105454
134301;2025;48;2;105454
134301;2025;51;3;94909
134302;2024;51;1;52727
134413;2024;41;1;36363
134413;2024;42;1;36363
134413;2024;43;5;163636
134413;2024;46;1;36363
134413;2024;48;1;36363
134413;2025;47;2;72727
134416;2024;41;1;31818
134416;2024;45;4;120909
134416;2024;46;1;31818
134416;2024;47;4;127272
134416;2024;48;1;31818
134416;2024;49;6;165454
134416;2024;50;3;95454
134455;2025;52;1;28636
134458;2024;43;1;44545
134458;2024;44;2;89090
134458;2024;45;6;213818
134458;2024;46;4;178181
134458;2024;47;2;89090
134458;2024;49;5;222727
134458;2024;50;3;124727
134458;2024;51;6;202681
134458;2024;52;4;108181
134475;2024;43;1;35454
134475;2024;50;1;26590
134562;2024;42;1;140909
134562;2024;50;1;140909
134562;2024;51;1;112727
134762;2024;41;13;189090
134762;2024;45;3;43636
134762;2024;46;2;29090
134762;2024;47;3;54545
134774;2024;48;1;17272
134774;2024;50;1;12954
134774;2025;49;2;31090
135165;2025;43;1;122727
135165;2025;44;4;482318
135165;2025;45;5;589090
135220;2024;42;1;131818
135230;2024;44;1;610944
135230;2024;45;3;1941818
135230;2024;47;1;809090
135230;2024;49;2;1618181
135230;2024;51;1;647272
135230;2024;52;3;1297458
135230;2025;44;1;809090
135230;2025;46;3;2103636
135230;2025;47;1;809090
135230;2025;48;2;1618181
135230;2025;49;2;1496818
135311;2024;42;1;31818
135311;2024;43;11;318181
135311;2024;44;11;350000
135311;2024;45;12;330909
135311;2024;47;1;31818
135311;2024;48;9;229090
135311;2024;49;1;31818
135327;2024;50;1;22727
135327;2025;51;2;31818
135327;2025;52;1;15909
135334;2024;43;2;45454
135334;2024;45;1;22727
135334;2024;48;2;45454
135334;2024;49;2;45454
135334;2024;51;1;18181
135334;2025;49;1;22727
135334;2025;51;1;15909
135336;2024;41;5;80000
135336;2024;42;6;120000
135336;2024;44;1;20000
135336;2024;45;13;236000
135336;2024;46;13;256000
135336;2024;47;9;180000
135336;2024;48;9;180000
135336;2024;49;6;108000
135336;2024;50;3;60000
135336;2024;51;7;127000
135336;2025;49;1;20000
135338;2024;41;2;45454
135360;2024;43;1;64545
135360;2024;45;1;51636
135360;2024;49;1;64545
135360;2024;50;3;142000
135360;2025;46;1;51636
135369;2024;43;1;64545
135369;2024;46;3;193636
135369;2024;48;4;258181
135369;2024;52;1;38727
135369;2025;46;3;193636
135370;2024;46;2;129090
135373;2024;52;1;36545
135373;2025;47;3;182727
135373;2025;49;1;48727
135376;2024;41;1;29090
135376;2024;44;1;29090
135376;2024;46;2;58181
135376;2024;47;3;87272
135376;2024;48;5;145454
135376;2024;49;5;145454
135386;2024;42;4;210909
135386;2024;43;5;263636
135386;2024;44;1;52727
135386;2024;45;4;168727
135386;2024;46;7;369090
135386;2024;47;8;421818
135386;2024;48;3;126545
135386;2024;49;2;105454
135386;2024;50;2;105454
135389;2024;45;4;218181
135389;2024;46;5;340909
135389;2024;47;1;68181
135389;2024;48;6;327272
135389;2024;49;4;272727
135389;2024;50;1;68181
135389;2024;51;2;102272
135407;2024;44;1;59090
135407;2024;51;1;35454
135414;2024;45;7;390000
135414;2024;48;3;177272
135414;2024;50;4;165454
135414;2024;51;8;313636
135414;2024;52;2;70909
135415;2025;42;13;392727
135415;2025;43;4;130909
135415;2025;44;14;458181
135415;2025;45;39;1086545
135415;2025;46;2;58909
135419;2025;51;1;12090
135422;2024;45;2;94545
135422;2024;47;3;177272
135426;2024;45;3;177272
135426;2024;48;1;59090
135426;2024;49;4;236363
135426;2024;51;1;47272
135426;2024;52;1;35454
135426;2025;48;2;118181
135429;2024;51;5;254090
135429;2025;45;1;59090
135478;2025;42;5;82909
135478;2025;43;1;17272
135478;2025;44;1;17272
135478;2025;45;9;138182
135478;2025;46;25;395544
135478;2025;47;43;739272
135478;2025;48;34;563090
135478;2025;49;15;259090
135478;2025;50;6;93272
135478;2025;51;2;27636
135537;2024;41;1;67272
135537;2024;42;3;201818
135537;2024;43;1;67272
135537;2024;46;1;60545
135537;2024;48;1;67272
135537;2024;49;2;134545
135539;2024;45;2;107636
135539;2024;49;1;67272
135539;2024;50;3;201818
135539;2024;51;2;107636
135539;2024;52;3;121090
135539;2025;46;1;53818
135542;2024;49;3;190909
135550;2024;45;1;60909
135550;2024;46;1;60909
135550;2024;48;3;176636
135550;2024;49;3;182727
135550;2024;50;3;182727
135594;2024;49;12;349090
135606;2024;45;29;738181
135606;2024;46;12;381818
135606;2024;47;6;190909
135606;2024;48;47;1444545
135606;2024;49;2;63636
135606;2024;50;13;413636
135606;2025;47;6;190909
135606;2025;48;1;31818
135722;2024;49;2;118181
135722;2024;50;6;307272
135722;2024;51;2;68181
135722;2024;52;3;118181
135722;2025;45;1;59090
135726;2025;45;1;222727
135733;2024;34;2;283636
136340;2024;1;2;1209090
136340;2024;44;1;863636
136340;2024;45;2;1381818
136340;2024;46;2;1554545
136340;2024;47;1;863636
136340;2024;49;4;3281818
136340;2024;50;5;3800000
136340;2024;51;12;7600000
136340;2024;52;3;1813636
136340;2025;47;2;1727272
136340;2025;48;1;863636
136340;2025;49;3;2590909
136340;2025;50;2;1554545
136342;2024;1;1;922727
136342;2024;41;1;1318181
136342;2024;43;1;1318181
136342;2024;45;3;3427272
136342;2024;49;3;3954545
136342;2024;50;5;5404545
136342;2024;51;5;4613636
136342;2024;52;1;922727
136342;2025;47;2;2636363
136342;2025;48;2;2636363
136342;2025;49;3;3954545
136342;2025;50;5;5668181
